time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.676877661559311e-07,-3.1197819636449536e-07,0.06999134119397257,6.283059287078526,0.00010249282801488846,0.0,-3.437400762151449e-05,-3.601363877309569e-05,2.331418550123044,-0.0066727016546292844,0.005265896924091082,0.0,899.9084720993915,-900.0988548885152,900.4388523405748,900.1689627725367
0.12000000000000001,-1.6597362125721605e-05,-1.9417143317355353e-05,0.2791436627039772,6.28277322325563,0.00047750817471570173,0.0,-0.0006526593848225689,-0.0007452371869693284,4.634052465536962,-0.0012063446964528683,0.00850040126100361,0.0,899.7458156255416,-899.786165357862,899.8039818712111,900.0253291926737
0.18,-0.00010468353213209957,-0.00010034979941561987,0.6249169861036328,6.282732880208096,0.0010343671145687239,0.0,-0.002500032305516018,-0.0019715280502988516,6.881102965029684,0.0003748723996305812,0.011144774035779481,0.0,900.1047548981215,-900.0543909127147,900.0655274061717,900.129533612201
0.23999999999999996,-0.00035134370151435464,-0.00025617874207589295,1.1030625541068484,6.282522399155624,0.0018898609274033973,0.0,-0.006015532084501256,-0.003248338653311421,9.042641578509159,-0.012699441681794568,0.020156395253782374,0.0,900.0067527778242,-900.1491597252566,900.1637995898637,899.63461492697
0.3,-0.0008807593129899743,-0.0005151754007095432,1.7077714338087373,6.281735564519753,0.003102010325516602,0.0,-0.012064703989671926,-0.005671797550120087,11.096735889734514,-0.013956053320794228,0.02062479987619545,0.0,900.3433816739764,-900.077863965093,900.0880327487445,900.037383394518
0.36000000000000004,-0.0018603200786632187,-0.0009769725107004593,2.431973997830495,6.2810202061109734,0.004904240116283098,0.0,-0.021097929595295377,-0.009975661599869245,13.02341351528911,-0.008137676223496839,0.04444363497317629,0.0,899.6311334419762,-900.2519917281603,900.0833401251462,900.319028946112
0.4200000000000001,-0.0035145991735981326,-0.001737300187736933,3.2675717804457514,6.280594623308982,0.007863668107128241,0.0,-0.03491361972274245,-0.015479295450263759,14.808384737966996,-0.005081404236156509,0.057869070104582636,0.0,899.9058951398422,-900.0515718566957,899.6039976130726,899.727914153119
0.48000000000000015,-0.0061837405407185846,-0.002844615908315269,4.205927944272439,6.280330307773902,0.011501746566954907,0.0,-0.05503303957732323,-0.02146531149901849,16.447894213231237,-0.0030859693101124423,0.06589391958435635,0.0,900.3498141756231,-900.2264274123543,900.0506874745245,900.1315608152923
0.5400000000000001,-0.010256624334286157,-0.004314729501211389,5.238116385058697,6.279947699305119,0.015640812288598482,0.0,-0.08169330543808204,-0.027557044593824836,17.936059744519202,-0.013941321529310918,0.07475162267524453,0.0,900.3562294396529,-900.2204350763982,900.1345189091292,899.6950851760851
0.6000000000000002,-0.01612410163376591,-0.006166650391887428,6.355116531077259,6.278982890823308,0.02058176126845357,0.0,-0.11487572531049726,-0.03435282365515189,19.275449193885954,-0.02074351921395035,0.09450380565738958,0.0,899.962328025519,-900.226253599201,900.3915949928114,900.1164835215392
0.6600000000000003,-0.02419142336978898,-0.008467713063036772,7.548150951723178,6.277762457463478,0.02643992252410321,0.0,-0.1551041300166489,-0.04257926048889765,20.471480201398712,-0.019546570564736677,0.10342821643501159,0.0,900.5583252138035,-900.3473459966635,900.1652122579596,900.213923190513
0.7200000000000003,-0.034883017849188416,-0.011303750395145392,8.808776048661,6.276858398800268,0.03274766177408761,0.0,-0.2022716587618601,-0.05209338604258635,21.529781647739433,-0.007349229266282526,0.10848800562760783,0.0,900.4036473826724,-900.0033976850178,899.8711499603793,900.3652311965251
0.7800000000000004,-0.048596445574811624,-0.014725116611685718,10.129012899064676,6.2763761628599966,0.039652072619842826,0.0,-0.2557551735976623,-0.06193917361742583,22.460059328734975,-0.009450281869297316,0.12586905620413788,0.0,899.9704821581739,-900.0402870923664,900.069876873729,899.9849508321561
0.8400000000000004,-0.06570620553463331,-0.01873608535899836,11.501507217517576,6.275624778926911,0.04733849559765613,0.0,-0.31550384305663737,-0.07177996135989946,23.27332524248628,-0.019512910426877143,0.13236077875862412,0.0,899.9212125926983,-899.525842226477,900.3283036312372,899.9210681498241
0.9000000000000005,-0.08658560546579236,-0.023349228525737675,12.919614362206897,6.274526564409262,0.055484540914674696,0.0,-0.38134105030312127,-0.08209289793229581,23.982114499650947,-0.015988372777718796,0.141927233667923,0.0,900.1946605542328,-899.9019002029369,900.0014125782368,900.1443844815948
0.9600000000000005,-0.11158825302439052,-0.02859770856467406,14.377358282848208,6.2735263811362145,0.06429387948790932,0.0,-0.4529334024605264,-0.09291358936489413,24.596176078104033,-0.018068530336329935,0.15522801268633685,0.0,900.0660709205027,-899.9063024323999,900.072727330132,899.9887290038326
1.0200000000000005,-0.14106220635915967,-0.0345079673854194,15.86940258111144,6.272321075475336,0.07389067814871098,0.0,-0.5304168961255982,-0.10416891308995775,25.126997725792535,-0.024469715822882734,0.16808222179024032,0.0,900.3151711738993,-900.1221839669229,900.0644619977431,899.8054539907541
1.0800000000000005,-0.17536577244170423,-0.041111574705993394,17.391017236267803,6.270936469778341,0.08452440979651588,0.0,-0.613989821062401,-0.1160588286422386,25.58332450800921,-0.020427090662806575,0.19114213889744175,0.0,899.8580229517263,-900.0665284216199,899.8208215749154,899.984818457626
1.1400000000000006,-0.21488778774007697,-0.04844705853528924,18.938050068215023,6.269733655001495,0.096502847058475,0.0,-0.7045145428289045,-0.12852404112116178,25.97560856171108,-0.01929718875019526,0.21277609778496734,0.0,900.0525392870035,-900.1950202590604,899.7212779168178,899.7673064503409
